pick,player_name,oreb,dreb,treb,ast,stl,blk,pts
,Mike Howlett,2.1765,3.8235,6.0,0.4118,0.1765,0.1176,7.7647
,DeAngelo Jackson,0.1304,0.2174,0.3478,0.0,0.1304,0.087,0.4348
,Milade Lola-Charles,1.0741,1.5556,2.6296,0.0,0.3333,0.7407,2.0
,Taylor Darby,2.5862,3.2414,5.8276,0.3103,0.2759,0.2414,6.069
,Corbin Moore,1.8276,1.7241,3.5517,0.3448,0.2414,0.4483,3.0
,Andrew Ott,0.9655,1.0,1.9655,0.1724,0.2414,0.1379,3.069
,Yancy Gates,2.5143,3.4286,5.9429,0.8571,0.5714,0.8571,10.3714
,Steve Toyloy,1.2286,2.1143,3.3429,0.3429,0.2,0.2,3.2571
13.0,Ed Davis,2.8696,6.6957,9.5652,0.9565,0.4348,2.7826,13.4348
,Kene Anusionwu,0.1667,0.3889,0.5556,0.0556,0.0556,0.1111,0.3889
,Tyrel Adams,0.4286,1.0,1.4286,0.2143,0.0357,0.1786,1.8214
,Evan Ravenel,0.96,1.48,2.44,0.4,0.08,0.36,3.28
17.0,Tyler Zeller,1.9259,2.7037,4.6296,0.2593,0.5185,0.8889,9.3333
,Victor Davila,2.2647,1.9706,4.2353,0.3824,0.2353,0.7647,5.2647
,Willie Reed,2.2647,5.5294,7.7941,0.7941,0.7353,2.1176,12.3235
,Kenny Frease,1.0857,3.2571,4.3429,0.7143,0.4,0.6,5.0857
,Anthony Thompson,0.25,0.8125,1.0625,0.1875,0.0625,0.4375,1.9375
,Mick Hedgepeth,2.3548,4.0968,6.4516,0.5806,0.3871,0.9032,11.6452
,Joe Latas,0.3478,0.6087,0.9565,0.0435,0.0435,0.1739,0.6957
,Ike Okoye,1.7742,5.9677,7.7419,1.2581,0.7097,1.4194,12.8387
,Nick Evans,0.95,1.95,2.9,0.25,0.2,0.9,5.15
,Darrius Morrow,2.84,3.8,6.64,0.92,1.16,0.88,12.96
,Johnnie Lett,1.2581,2.0,3.2581,0.4194,0.1935,0.1613,1.7097
,Brendon Knox,2.0645,1.8387,3.9032,0.4839,0.4516,1.0323,8.6452
,T.J. Robinson,3.5806,6.5484,10.129,0.7419,0.5161,0.129,15.4839
,Terrance Saintil,0.8077,1.1154,1.9231,0.2692,0.5385,0.2308,2.4615
,Mike Proctor,1.9032,3.8065,5.7097,0.8065,0.7742,0.6774,7.9677
,David Loubeau,2.1515,2.4545,4.6061,0.303,0.3636,0.2121,8.9091
,Yannick Crowder,2.7241,3.1379,5.8621,0.5172,0.4138,1.0,8.2414
,Cecil Bent,0.375,0.9167,1.2917,0.25,0.0833,0.125,2.6667
,Glen Izevbigie,0.6364,0.5909,1.2273,0.1364,0.0,0.3636,1.5455
,Jack Hill,0.5625,0.8125,1.375,0.1875,0.0625,0.125,0.875
,Artsiom Parakhouski,4.8966,8.1724,13.069,0.9655,0.5172,2.069,20.8966
,Jamel McLean,3.1143,4.3714,7.4857,0.7429,0.6286,0.8571,8.4571
,Kevin Thompson,4.8378,7.0,11.8378,1.8108,0.5405,1.4324,12.7297
,Krys Faber,1.2,1.7667,2.9667,0.2,0.1667,0.4333,2.4333
,Isiah Brown,2.0909,3.6061,5.697,1.1212,0.8182,1.4545,7.8788
,Jon Pack,0.3,0.8,1.1,0.15,0.05,0.25,1.0
,George Odufuwa,3.0323,7.2903,10.3226,1.7742,0.6452,0.9032,11.7097
,Desmond Adedeji,0.8333,2.0,2.8333,0.3333,0.3333,0.6667,6.3333
,Greg Somogyi,0.4074,2.2593,2.6667,0.3333,0.1481,1.3704,2.6296
,Nick Pascale,1.2069,3.1034,4.3103,0.5862,0.2414,0.8621,3.5517
,Marquis Young,2.3,1.9,4.2,0.4,0.1,0.2,4.7
,Steven Idlet,1.5882,3.8235,5.4118,0.7647,0.3529,1.0,6.1765
,Julian Vaughn,1.6471,2.7059,4.3529,1.4412,0.2941,1.4412,7.3824
,Deividas Busma,1.3333,1.0,2.3333,0.0,0.1667,0.3333,3.5
,Amos Studivant,2.1935,2.4516,4.6452,0.5484,0.8065,0.8065,6.3226
,Leon Spencer,1.9375,3.3125,5.25,0.6875,0.1875,1.75,6.625
,John Benkoske,0.1176,0.5882,0.7059,0.0,0.0,0.0,0.7059
19.0,Andrew Nicholson,2.3448,4.8276,7.1724,0.4828,0.2069,1.8966,16.3103
,Ji Xiang,0.6316,0.6842,1.3158,0.1579,0.0526,0.2105,1.5789
,Aramie Brooks,0.5,1.1364,1.6364,0.1818,0.2727,0.2273,2.6364
,A.J. Hardeman,2.8,2.6571,5.4571,0.3429,0.6571,1.2571,7.0
,Orion Outerbridge,1.3143,1.6571,2.9714,0.2571,0.2,0.8857,5.9429
,Arthur Zulu,0.2609,0.3478,0.6087,0.0435,0.1304,0.2609,0.6957
,John Fraley,3.0667,4.7333,7.8,0.5333,0.3333,0.8667,9.2667
,Zack Atkinson,1.2143,2.1786,3.3929,0.25,0.2857,1.25,5.25
,Cameron McCallum,0.5909,1.0,1.5909,0.4091,0.2273,0.0455,1.0455
,Kyle Rowley,0.7333,1.5333,2.2667,0.4333,0.0333,0.1667,2.0
,Ishmael Awange,0.9231,1.4615,2.3846,0.1154,0.0769,0.9231,1.4231
,Michael Dunigan,1.8929,3.0357,4.9286,0.1429,0.6071,1.3214,9.0
,Ante Dzepina,0.8,1.16,1.96,0.28,0.12,0.28,1.2
,Justin Greene,2.4848,4.3636,6.8485,1.2424,0.8182,0.9091,13.8182
,Alvin Mofunanya,1.9615,6.7308,8.6923,1.2308,0.3846,2.0769,11.3077
,DeAngelo Casto,2.6667,4.4333,7.1,0.5333,0.6333,2.1667,10.7667
,Shawn Oliverson,0.2963,0.5926,0.8889,0.0741,0.037,0.1111,0.1852
,Mame Bocar Ba,0.8333,1.4667,2.3,0.1,0.1,0.2667,2.6333
,Charles Okwandu,0.8,0.7667,1.5667,0.0667,0.1667,0.4333,1.0333
,Jarrod Jones,1.7241,5.6207,7.3448,0.7586,0.5517,1.1724,11.931
,Chris Cooper,1.0,0.9655,1.9655,0.1724,0.1034,0.2069,1.4483
,Billy Blackmon,1.5385,3.6923,5.2308,0.7308,0.5,0.8462,2.7308
,Matt Hill,0.4348,0.6957,1.1304,0.0,0.0,0.2174,0.6522
,Chris Toler,0.8519,1.5556,2.4074,0.1852,0.2593,0.6296,2.5185
,Brandon Sebirumbi,1.1071,1.75,2.8571,0.3571,0.2857,0.3929,5.3214
,Micheal Eric,1.1613,1.9032,3.0645,0.6452,0.3226,0.6452,5.9355
,Bryson Hampton,1.6923,1.9615,3.6538,0.1538,0.1538,0.7308,3.5769
,Darko Cohadarevic,1.9706,3.0588,5.0294,1.1471,0.2647,0.3529,6.8529
